INFO  | 2021-06-01 11:46:13 - принят клиент с ip: /192.168.5.1
ERROR | 2021-06-01 11:46:13 - null
INFO  | 2021-06-01 11:48:31 - старт сервера
INFO  | 2021-06-01 11:48:31 - добавлены команды
INFO  | 2021-06-01 11:48:31 - путь установлен как стандартный
INFO  | 2021-06-01 11:48:31 - создан сервер
INFO  | 2021-06-01 11:48:44 - принят клиент с ip: /192.168.5.1
ERROR | 2021-06-01 11:48:44 - null
INFO  | 2021-06-01 11:50:07 - старт сервера
INFO  | 2021-06-01 11:50:07 - добавлены команды
INFO  | 2021-06-01 11:50:07 - путь установлен как стандартный
INFO  | 2021-06-01 11:50:07 - создан сервер
INFO  | 2021-06-01 11:50:14 - принят клиент с ip: /192.168.5.1
ERROR | 2021-06-01 11:50:14 - null
INFO  | 2021-06-01 11:52:07 - старт сервера
INFO  | 2021-06-01 11:52:07 - добавлены команды
INFO  | 2021-06-01 11:52:07 - путь установлен как стандартный
INFO  | 2021-06-01 11:52:07 - создан сервер
INFO  | 2021-06-01 11:52:12 - принят клиент с ip: /192.168.5.1
ERROR | 2021-06-01 11:52:12 - null
INFO  | 2021-06-01 11:53:00 - старт сервера
INFO  | 2021-06-01 11:53:00 - добавлены команды
INFO  | 2021-06-01 11:53:00 - путь установлен как стандартный
INFO  | 2021-06-01 11:53:00 - создан сервер
INFO  | 2021-06-01 11:53:06 - принят клиент с ip: /192.168.5.1
ERROR | 2021-06-01 11:53:06 - null
INFO  | 2021-06-01 11:55:23 - старт сервера
INFO  | 2021-06-01 11:55:23 - добавлены команды
INFO  | 2021-06-01 11:55:23 - путь установлен как стандартный
INFO  | 2021-06-01 11:55:23 - создан сервер
INFO  | 2021-06-01 11:55:32 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-01 11:55:32 - сервер выполнил или отверг комнаду
ERROR | 2021-06-01 11:55:32 - null
INFO  | 2021-06-01 12:32:05 - старт сервера
INFO  | 2021-06-01 12:32:05 - добавлены команды
INFO  | 2021-06-01 12:32:05 - путь установлен как стандартный
INFO  | 2021-06-01 12:32:05 - создан сервер
INFO  | 2021-06-01 12:32:07 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-01 12:32:07 - сервер выполнил или отверг комнаду
INFO  | 2021-06-01 12:32:07 - отправлен результат
INFO  | 2021-06-01 12:36:33 - старт сервера
INFO  | 2021-06-01 12:36:33 - добавлены команды
INFO  | 2021-06-01 12:36:33 - путь установлен как стандартный
INFO  | 2021-06-01 12:36:33 - создан сервер
INFO  | 2021-06-01 12:36:48 - старт сервера
INFO  | 2021-06-01 12:36:48 - добавлены команды
INFO  | 2021-06-01 12:36:48 - путь установлен как стандартный
INFO  | 2021-06-01 12:36:48 - создан сервер
INFO  | 2021-06-01 12:38:19 - старт сервера
INFO  | 2021-06-01 12:38:19 - добавлены команды
INFO  | 2021-06-01 12:38:19 - путь установлен как стандартный
INFO  | 2021-06-01 12:38:19 - создан сервер
INFO  | 2021-06-01 12:41:44 - старт сервера
INFO  | 2021-06-01 12:41:44 - добавлены команды
INFO  | 2021-06-01 12:41:44 - путь установлен как стандартный
INFO  | 2021-06-01 12:41:44 - создан сервер
INFO  | 2021-06-13 15:51:28 - старт сервера
INFO  | 2021-06-13 15:51:28 - добавлены команды
INFO  | 2021-06-13 15:51:28 - путь установлен как стандартный
